O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
O : pourquoi enlever le fan <P48,L13> 
Y : pour qu’il puisse euh: pour aller faire le {coulis de tube;(inaud.)} parce que moi il est comme bizarre (en traçant la forme de l’appareil avec sa main) (.) en tout cas il faut que je l’enlève pour qu’il puisse mieux travailler genre (en fermant le poing et en ramenant sa main vers lui comme s’il enlevait quelque chose) <P48,L14> 
O : ouin ouin ben [ 1 c’est normal là <P48,L15> 
Y : [ 1 pis euh <P48,L16> 
Y : ça va donner une chance je pourrais le laisser là mais donner de la misère euh:: (.) c’est pas dur là [ 1 pour l’enlever t’as une coupe de vis à <P48,L17> 
O : [ 1 tout dépendamment si il y a du découpage ou pas là/ <P48,L18> 
Y : t’as une coupe de vis ostie à enlever pis après ça tu remets ton fan comme (.) i:l va pouvoir au lieu de couper sa tuile (en créant un espace entre son pouce et son index comme pour représenter la longueur de la tuile coupée) t’sais il la met pleine (en éloignant sa main comme s’il posait quelque chose) pis après ça tu raccotes ton fan là (en éloignant ses deux bras de son corps, devant lui, comme s’il poussait un objet) <P49,L1> 
O : ah pis si ça nuit pas [ 1 c’est pas pire (0:09:01.4) <P49,L2> 
Y : [ 1 ouin <P49,L3> 3”) O : eh nous-autres euh: mercredi matin/ nous-autres il y avait eu un défaut/ sur les armoires là/ (en levant le menton vers Sylvain comme pour attirer son attention) [ 1 ils s’étaient trompés dans les mesures (.) le gars il est revenu mercredi matin (.) heille une job que d’après moi là moi l’avoir fait tout seul moi-même ça m’aurait pris peut-être ben euh deux heures (.) <len<maximum trois (.) ça lui a pris quasiment CINQ heures au gars>> <P49,L4> 
Y : [ 1 (il hoche la tête affirmativement) <P49,L5> 
Y : c’est quoi [ 1 qu’il a fait/ <P49,L6> 
S : [ 1 payé à l’heure ostie <P49,L7> 
O : ah il était pas vite <P49,L8> 
Y : c’est [ 1 quoi qu’il a fait <P49,L9> 
S : [ 1 payé à l’heure (en soulevant la main de la table comme pour exprimer une évidence) (0:09:27.3) <P49,L10> 
O : il fall- il a fallu qui démanche mettons deux caissons (en plaçant ses deux mains devant lui comme pour représenter les deux caissons) il en a un qu’il fallait qu’il le coupe (en descendant sa main en position verticale comme pour mimer l’action de couper) <P49,L11> 
Y : (il hoche la tête affirmativement) <P49,L12> 
O : mais il l’a coupé au banc de scie (en levant sa main comme pour exprimer une évidence) (.) heille pas long couper un caisson au banc de scie là <P49,L13> 
Y : (il hoche la tête négativement) <P49,L14> 
O : <all<il savait qu’il fallait qu’il enlève [ 1 un pouce (en créant un espace entre son pouce et son index comme pour montrer la mesure dont il parle) tu pousses d’un bord tu tournes ton caisson tu le pousses (.) tu le revires tu le repousses encore pis (en étirant ses bras et en les ramenant vers lui comme s’il poussait et tournait le caisson sur le banc de scie) (.) le premier caisson ça a pris quarante-cinq minutes <P49,L15> 
Y : [ 1 (il hoche la tête affirmativement) <P50,L1> 
Y : (il hoche la tête affirmativement) <P50,L2> 
O : j’ai dit •tabarnache (en reculant la tête comme en signe d’incrédulité) i:l deux heures il est parti/° l’autre caisson fallait qu’il le rallonge (en séparant ses deux mains collées, l’une vers l’avant et l’autre vers l’arrière comme pour représenter l’allongement) <P50,L3> 
Y : hum <P50,L4> 
O : ça a dû prendre euh TROIS heures rien que poser le caisson pis il a fallu que j’aille l’aider <P50,L5> 
O : moi j’étais heille <P51,L1> 
Y : il t’as-tu parlé pour tes poignées/ tant qu’à venir/ tu disais heille euh <P51,L2> 
O : ah les poignées croches/ ouais [ 1mais (en haussant une épaule comme pour exprimer le peu d’importance de ce dont il est question) <P51,L3> 
Y : [ 1 ouin il l’a [ 2 pas fait (en hochant la tête négativement) <P51,L4> 
O : [ 2 il en a rien qu’une qui est croche (en fermant sa main comme s’il la tenait une poignée) <P51,L5> 
Y : ouin ouin (en hochant la tête affirmativement) <P51,L6> 
O : je vas essayer {de:;de euh} <P51,L7> 
Y : ah mais t’aurais dû [ 1 lui dire tant qu’à ê- qu’à tant que le gars soit là si <P51,L8> 
O : [ 1 schimer le trou (en fermant ses poings et en les montant et en les descendant successivement l’un près de l’autre comme s’il ajustait quelque chose) <P51,L9> 
O : {ouin;non} [ 1 ben (en fronçant les sourcils comme en signe de doute) <P51,L10> 
Y : [ 1 si c’est lui qui le [ 2 fait ou t’aurais aimé mieux le faire toi-même/ ouin (.) [ 3 c’est mieux de même (RIRE) <P51,L11> 
O : [ 2 à lui voir ouf ouin c’est ça <P51,L12> 
O : [ 3 à lui voir là j’étais là •ouf je lui en demanderai pas trop parce {que:;que euh}° <P51,L13> 
Y : dans ce temps-là ouais c’est ça des fois tu te dis t’es mieux de le refaire toi-même (en haussant les sourcils comme pour exprimer une évidence) <P51,L14> 
Y : [ 1 hum <P51,L15> 
O : [ 1 là je le regardais je dis •toi tu dois pas poser les armoires [ 2 certain dans une maison neuve parce que <P51,L16> 
Y : [ 2 s- <P51,L17> 
Y : (il incline la tête comme en signe de doute) <P51,L18> 
O : ça doit pas [ 1 être payant° (.) [ 2 lui il travaille pour la compagnie (en donnant de petits coups secs sur la table comme pour insister sur ses propos) rien que pour faire les <P51,L19> 
Y : [ 1 s- <P51,L20> 
Y : [ 2 s- <P52,L1> 
Y : les [ 1 plaintes (en inclinant la tête comme pour désigner la compagnie dont il est question) ouin (inaud.) <P52,L2> 
O : [ 1 les rappels là ouin les plaintes (0:00:36.4) <P52,L3> 
Y : repogner la marde [ 1 des autres <P52,L4> 
O : [ 1 ah ouin <P52,L5> 
O : faut croire qu’il en ramasse souvent parce qu’il t’avais (en riant) une ostie de liste (en riant) <P52,L6> 
Y : (il hausse les épaules comme en signe d’impuissance) <p<ouin il y en a>> .) il y en a tout le temps man partout (.) dans n’importe quoi moi je suis encore avec RénovPro il y a encore des: des affaires qui leur reste à faire (.) mon drain dans le garage là (.) l’eau elle coule à la cave imagines-tu là <P52,L7> 
O : dan::s euh: [ 1 elle suit pas le trou (en dessinant un cercle dans les airs avec son index comme pour représenter le trou dont il parle) <P52,L8> 
Y : [ 1 euh: mon garage là si mettons si ton char dégoutte là/ (en formant un demicercle avec sa main et en levant et descendant sa main comme pour représenter le tuyau dont il parle) <P52,L9> 
O : ouin (0:00:59.7) <P52,L10> 
Y : ben là on dirait que le tuyau qui passe au travers (en formant un cercle avec ses mains et en levant et descendant sa main comme pour représenter le tuyau dont il parle) {de:;de euh} [ 1 du plancher d- du garage/ (en déplaçant horizontalement sa main à plat comme pour représenter le plancher dont il parle) (.) pis on dirait que l’eau passe <len<sur le côté du tuyau>> là (en descendant son index le long de son autre main comme pour représenter la trajectoire de l’eau) <P52,L11> 
O : [ 1 du ouais <P52,L12> 
O : elle rentre pas dans le drain elle rentre <P52,L13> 
Y : ouin elle rentre comme dans sur le côté du tuyau (en descendant son index le long de son autre main comme pour représenter la trajectoire de l’eau) pis là elle dégoutte dans la cave sur mon bois (en pointant avec ses deux index répétitivement du haut vers le bas comme pour représenter l’eau qui dégoutte) eh tabarnaque <cresc<là là là là là là là>> ils se grattent la tête en ostie eux-autres là là (.) il faut qu’ils trouvent un coupable pis là il faut qu’ils le reprennent/ (.) là si c’est le gars du ciment c’est Bouchard faut qu’il revienne ostie [ 1 faire un carré (en traçant avec ses index un carré sur la table) mais ça va-tu être beau ça {t’sais;toi}/ (en traçant avec ses index un carré sur la table) [ 2 faire un carré de même <P52,L14> 
O : [ 1 casser le ciment <P53,L1> 
O : [ 2 ben ouais {heille là;(inaud.)} <P53,L2> 
Y : ça sera pas beau pantoute là (.) sinon <P53,L3> 
O : ouin mais rien que ils sont pas capables de euh le tuyau (en formant une forme arrondie avec l’une de ses mains comme pour représenter le tuyau dont il parle) est pogné dans le ciment/ (0:01:30.7) <P53,L4> 
Y : ah oui il est ben pogné là (.) ben pogné (en hochant la tête affirmativement) <P53,L5> 
O : c’est le tuyau qui est craqué/ ou ben: <P53,L6> 
Y : (il hausse les épaules en signe d’ignorance) [ 1 ils savent pas euh essaye (en levant le menton comme pour insister sur ses propos) d’aller voir <P53,L7> 
O : [ 1 ils mettent un jo- <P53,L8> 
O : si tu mets un joint de silicone là (en traçant un cercle avec son index sur la table comme pour représenter le joint dont il parle) <P53,L9> 
Y : ouin mais du silicone entre toi pis moi m’as-tu dire euh: •mettez-moi un joint de silicone/° (en inclinant la tête sur le côté comme pour désigner l’endroit où le silicone devrait être posé) <P53,L10> 
O : non non non non mais <P53,L11> 
Y : •répare-moi ça pour ça: (en hochant la tête affirmativement) pour pas retoucher à ça° <P53,L12> 
O : en théorie tu fais rien que ça pis (en traçant un cercle avec son index droit sur la table comme s’il posait du silicone) t’as la paix à vie là [ 1 avec du silicone <P53,L13> 
Y : [ 1 ouin mais ça ils me feront pas ça moi (.) crisse non (.) au prix qu’ils coûtent là i:ls (en inclinant la tête sur le côté comme pour exprimer la certitude de ses propos) (1,6”) ils vont ils vont {le:;le euh} ils vont le réparer certain (.) là ils parlaient peut- être ben que si c’est le gars du ciment il faut qu’il recasse il va se refaire un carré (en traçant sur la table avec ses index un carré) il refait du ciment (dit en riant) il en r- décâlisse (en laissant tomber ses mains rapidement comme s’il démontait le drain dont il parle) le drain il re- là il remet ça (en laissant tomber ses mains rapidement comme s’il remontait le drain dont il parle) pis il refait du ciment comme un carré (en traçant de nouveau le carré) pis il essaye de flatter ça pour (.) [ 2 (inaud.) (0:02:06.9) <P53,L14> 
O : [ 2 ouin mais il va y avoir une ligne tout le [ 3 temps <P53,L15> 
Y : [ 3 ouin c’est sûr ça va paraître <P54,L1> 
O : pis [ 1 à la longue euh i- euh à longue il va s’écailler <P54,L2> 
Y : [ 1mais si c’est pas si pire c’est {grand de même;quand même} (en traçant un carré sur la table comme pour représenter le nouveau ciment) <P54,L3> 
Y : peut-être je le sais pas en tout cas anyway (.) j’ai hâte de voir ce qu’ils vont faire avec ça (.) ça va être euh (1,5”) c’est eux-autres qui vont s’organiser avec ça [ 1 (SOUPIR) <P54,L4> 
O : [ 1 crisse pour que l’eau [ 2 coule entre le drain pis le ciment là (0:02:23.5) <P54,L5> 
Y : [ 2 {il disait;c’est} <P54,L6> 
Y : il disait là il dit •t’sais au pire tu mets de l’époxy/° ça/ de l’époxy ça a l’air c’est <P54,L7> 
O : ouais <P54,L8> 
Y : c’est fort (en inclinant la tête comme pour exprimer la possibilité) (1,7”) on va voir là (.) ils vont s’organiser avec ça [ 1 c’est ça qui est le fun là quand t’arrives t’as de quoi là tu chiales pis pff moi je touche à rien là (.) des affaires au pire si {je;tu} fais comme [ 2 tu dis •je pourrais mettre du silicone (en traçant un demi-cercle sur la table comme s’il mettait du silicone) moi-même mais moi je touche pas à rien (en levant la main comme pour insister sur ses propos) ° <P54,L9> 
O : [ 1 comme euh: <P54,L10> 
O : [ 2 <all<ouin ben là>> <P54,L11> 
O : non non [ 1mais toi t’appelles là ça c’est eux-autres <P54,L12> 
Y : [ 1 c’est supposé: c’est supposé ils {contrôlent;construisent} tout <P54,L13> 
S : [ 1 (il abaisse les commissures de ses lèvres en signe de culpabilité et de fierté parce qu’il vient de lancer un bouchon de bière directement sur le micro) <P54,L14> 
O : [ 1mais eux-autres [ 2 ils euh heille être <P54,L15> 
Y : [ 2 i:ls <P54,L16> 
S : (RIRE) <P54,L17> 
O : t’sais être <P54,L18> 
S : [ 1 (RIRE) <P54,L19> 
Y : [ 1 (RIRE) (en lançant un bouchon de bière vers Sylvain) <P55,L1> 
O : être bright pour cinq cennes ils viendraient te mettre un joint de silicone (en traçant une forme circulaire dans les airs comme pour représenter le joint de silicone) pis ils [ 1 câlisseraient leur camp (en pointant son pouce par-dessus son épaule comme pour représenter la fuite des ouvriers) <P55,L2> 
Y : [ 1 ben peut-être parce qu’ils sont venus pis j’étais là (.) pis le plombier est venu pis là il essayait avec la hose pis là: pis là le plombier s’est rendu compte il dit •moi c’est pas de ma faute dans le fond° euh: parce que l- (.) le plombier lui il s’est jointé parce que [ 2 quand que (en plaçant ses mains fermées une au-dessus de l’autre comme pour représenter le joint dont il parle) <P55,L3> 
O : [ 2 il checkait si ça coulait du joint [ 3 ou du (0:03:03.4) <P55,L4> 
Y : [ 3 ouin c’est ça (en hochant la tête affirmativement) parce que quand ils ont coulé le ciment au début/ (en plaçant une main au-dessus de l’autre comme pour montrer l’épaisseur du ciment) (.) ils mettent un joint dedans avec une [ 4BAgue en bas/ (en formant un demi-cercle avec sa main comme s’il tenait un tuyau et en positionnant sa main droite sous sa main gauche comme s’il tenait une autre pièce) <P55,L5> 
O : [ 4 (il hoche la tête affirmativement) <P55,L6> 
Y : pis là lui quand que le plombier arrive (en ramenant sa main de l’arrière vers l’avant) là il se replogue dans la bague (en percutant ses deux mains ensemble comme s’il introduisait l’objet tenu dans sa main droite dans le tuyau de sa main gauche) pis là il descend (en traçant un arc vers le bas avec son index droit) (.) tout (.) pis là il dit •moi c’est pas de ma j- c’est pas [ 1 c’est pas de ma faute là/° <P55,L7> 
O : [ 1 •c’est pas c’est pas là que ça coule (en haussant une épaule comme pour exprimer une évidence)° <P55,L8> 
Y : ouin •c’est pas là que ça coule° (en déplaçant vivement sa main de gauche à droite comme pour représenter l’eau qui coule) pis tout (il lève les bras comme en signe d’impuissance) fait que là là c’est l’autre le Bouchard heille {regarde;euh} (.) je sais pas si elle l’a appelé <dim<en tout cas on sait pas ce que ça va faire>> <P55,L9> 
O : Bouchard [ 1 d’habitude (en fronçant les sourcils comme pour exprimer son étonnement) il est bon là pour euh: <P55,L10> 
Y : [ 1 (inaud.) ah ouais {ben des bons moi mai-;(inaud.)} moi mon solage mon homme il y a des places c’était un: pouce de moins (en créant un espace entre son pouce et son index comme pour montrer la mesure dont il parle) que c’était supposé (0:03:33.1) <P55,L11> 
O : (il écarquille les yeux comme en signe de surprise) <P55,L12> 
Y : ah oui il a fallu il a fallu qu’il se reprenne au complet quasiment <P56,L1> 
O : ah/ ouin/ <P56,L2> 
Y : ouin (en hochant la tête affirmativement) <P56,L3> 
O : il l’avait pas mis au niveau <P56,L4> 
Y : non non pas au niveau moi c’est le dix pouces (.) <all<il y a dix pouces de large à cause de la pierre/>> en créant un espace entre ses mains comme pour montrer la largeur) (.) mais t’sais euh:: faut que t’aies dix pouces moi parce que c’est j’ai comme une la tourelle elle fait ça de même (en traçant sur la table avec sa main gauche la moitié d’un octogone) (.) faut que tu aies dix pouces là dix pouces là [ 1 dix pouces là mais (en repassant sur chacun des côtés tracés auparavant en indiquant leur épaisseur entre son pouce et son index) (.) ici t’as t’as neuf pouces (.) ici t’as dix pouces pis l’autre t’as neuf [ 2 pouces (en repassant sur chacun des côtés tracés auparavant en indiquant une épaisseur différente d’un côté à l’autre) <P56,L5> 
O : [ 1 ah ouin dix pouces partout <P56,L6> 
O : [ 2 ah ouin↑ les formes étaient même pas [ 3 égales (en écarquillant les yeux comme en signe de surprise) <P56,L7> 
Y : [ 3 (il place ses mains parallèles et les déplace comme pour représenter les différents côtés de la tourelle dont il parle) ouin c’est ça l’épaisseur comme (en créant un espace entre ses mains comme pour montrer l’épaisseur) (.) crisse là t’arrives tu mets la pierre (en faisant descendre ses deux mains parallèles comme pour mimer qu’ils installe une pierre) pis là il y a des places {ta;la} pierre elle dépasse de ça (en créant un espace entre son pouce et son index comme pour montrer la mesure dont il parle) (.) du solage normalement c’est supposé arriver (en frottant la paume de sa main droite sur le dos de sa main gauche comme pour indiquer deux objets qui s’emboîtent parfaitement) (0:04:04.6) <P56,L8> 
